"idResults0","doc_id","PMID","exp1","expType","expLow1","expHigh1","expUnit1","refExp1","outcome","result","icLow","icUpper","measureType","exp2","adjustment","fromCode","projectName","uploadDate"
,"10473312_1_OR","10473312","depression",,"NULL","NULL",,,"prolonged fatigue",0.95,0.2,3.6,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"10473312_2_OR","10473312","depression",,"NULL","NULL",,,"prolonged fatigue",1.4,0.6,3.4,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"10699536_1_OR","10699536","age",,"NULL","NULL",,,"fatigue",1.04,1.02,1.06,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"10699536_2_OR","10699536","fatigue",,"NULL","NULL",,,"psychiatric morbidity",1.2,1.2,95,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"10699536_3_OR","10699536","fatigue",,"NULL","NULL",,,"chronic fatigue",2.3,1.3,4.2,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"11071579_1_HR","11071579","lower",,"NULL","NULL",,,"chronic fatigue syndrome",2,2,2,"hazard ratio (HR)",,,1,"allChronicFatigue","2023-12-08"
,"11513371_1_RR","11513371","somatization symptoms",,"NULL","NULL",,,"major depression",28.4,11.7,68,"relative risk (RR)",,,1,"allChronicFatigue","2023-12-08"
,"12542563_3_OR","12542563","serum ferritin concentration",,"NULL","NULL",,,"haemochromatosis",103,22.9,469.7,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"12542563_1_oddsratio","12542563","undiagnosed haemochromatosis",,"NULL","NULL",,,"diabetes",40.1,8,202.1,"relative risk (RR)",,,1,"allChronicFatigue","2023-12-08"
,"12593133_1_HR","12593133","cbfv",,"NULL","NULL",,,"abnormal cerebral blood flow velocity",2,2,2,"hazard ratio (HR)",,,1,"allChronicFatigue","2023-12-08"
,"12912720_5_OR","12912720","frontal headache",,"NULL","NULL",,,"sore throat",13.6,6.5,28.5,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"12912720_6_OR","12912720","facial pressure",,"NULL","NULL",,,"rhinosinusitis symptoms",2.8,1.6,5,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"12912720_3_OR","12912720","heavy-headedness",,"NULL","NULL",,,"chronic fatigue or bodily pain",21.9,10.9,44,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"12912720_7_OR","12912720","facial pressure",,"NULL","NULL",,,"sore throat",3.1,1.5,6.6,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"12912720_4_OR","12912720","pollen allergy",,"NULL","NULL",,,"chronic fatigue",4.3,2.3,7.9,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"12912720_8_OR","12912720","facial pressure",,"NULL","NULL",,,"chronic fatigue",9.2,4.3,19.7,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"12912720_1_oddsratio","12912720","facial pressure",,"NULL","NULL",,,"chronic fatigue",9.7,5.2,18.2,"relative risk (RR)",,,1,"allChronicFatigue","2023-12-08"
,"14580073_3_OR","14580073","stress",,"NULL","NULL",,,"chronic fatigue syndrome",4.3,1.8,10.2,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"14580073_2_OR","14580073","stress",,"NULL","NULL",,,"chronic fatigue syndrome",9,3.2,25.1,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"14982142_2_OR","14982142","chronic fatigue",,"NULL","NULL",,,"ptsd",1.3,0.5,3.2,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"14982142_1_OR","14982142","chronic fatigue",,"NULL","NULL",,,"ptsd",3.4,2,5.8,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"15096280_3_OR","15096280","sleep factor abnormalities",,"NULL","NULL",,,"restlessness",16,4.2,61.6,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"15096280_1_oddsratio","15096280","sleep factor abnormalities",,"NULL","NULL",,,"restlessness",28.1,7.4,107,"relative risk (RR)",,,1,"allChronicFatigue","2023-12-08"
,"15155698_3_HR","15155698","chronic fatigue syndrome",,"NULL","NULL",,,"multiple sclerosis",0.98,0.94,1.03,"hazard ratio (HR)",,,1,"allChronicFatigue","2023-12-08"
,"15155698_1_hazardratio","15155698","multiple sclerosis",,"NULL","NULL",,,"chronic fatigue syndrome",1.24,0.99,1.53,"hazard ratio (HR)",,,1,"allChronicFatigue","2023-12-08"
,"15221876_1_oddsratio","15221876","allele frequency",,"NULL","NULL",,,"chronic fatigue syndrome",5.08,1.97,13.35,"relative risk (RR)",,,1,"allChronicFatigue","2023-12-08"
,"15221876_4_OR","15221876","dd genotype",,"NULL","NULL",,,"chronic fatigue",5.4,1.6,18.4,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"15221876_3_OR","15221876","ii genotype",,"NULL","NULL",,,"chronic fatigue syndrome",5.87,1.21,28.36,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"15221876_5_OR","15221876","chronic fatigue syndrome",,"NULL","NULL",,,"idiopathic chronic fatigue",8.3,1.5,56.09,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"15266475_1_RR","15266475","depression",,"NULL","NULL",,,"dropouts",1.73,0.92,3.24,"relative risk (RR)",,,1,"allChronicFatigue","2023-12-08"
,"16049059_1_OR","16049059","internal health control",,"NULL","NULL",,,"chronic fatigue syndrome",0.39,0.25,0.61,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"16049059_2_OR","16049059","internal health control",,"NULL","NULL",,,"chronic fatigue syndrome",0.57,0.38,0.87,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"16049059_3_OR","16049059","internal health control",,"NULL","NULL",,,"chronic fatigue syndrome",0.74,0.5,1.09,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"16303810_4_OR","16303810","female gender",,"NULL","NULL",,,"chronic syndromes",1.4,1.1,1.7,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"16303810_1_oddsratio","16303810","female gender",,"NULL","NULL",,,"chronic syndromes",1.8,1.5,2.2,"relative risk (RR)",,,1,"allChronicFatigue","2023-12-08"
,"16303810_6_OR","16303810","female gender",,"NULL","NULL",,,"chronic syndromes",2.3,1.9,2.8,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"16303810_3_OR","16303810","female gender",,"NULL","NULL",,,"chronic syndromes",3.5,2.8,4.4,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"16303810_5_OR","16303810","female gender",,"NULL","NULL",,,"chronic syndromes",3.6,2.9,4.4,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"16438740_1_OR","16438740","chronic fatigue syndrome",,"NULL","NULL",,,"gulf deployment",3.8,2.2,6.7,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"16610956_1_oddsratios","16610956","high allostatic load",,"NULL","NULL",,,"chronic fatigue syndrome",1.9,0.75,4.75,"relative risk (RR)",,,1,"allChronicFatigue","2023-12-08"
,"16753082_3_OR","16753082","self",,"NULL","NULL",,,"work disability",0.2,0.09,0.43,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"16753082_1_oddsratio","16753082","self",,"NULL","NULL",,,"work disability",0.45,0.24,0.87,"relative risk (RR)",,,1,"allChronicFatigue","2023-12-08"
,"16908799_1_OR","16908799","chronic fatigue",,"NULL","NULL",,,"considerable co",23.53,19.67,28.16,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"16908799_4_OR","16908799","irritable bowel syndrome",,"NULL","NULL",,,"chronic fatigue",5.17,4.55,5.88,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"16908799_3_OR","16908799","depressive symptoms",,"NULL","NULL",,,"chronic fatigue",5.26,4.75,5.82,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"16908799_2_OR","16908799","familial confounding",,"NULL","NULL",,,"joint pain",7.41,6.7,8.21,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"17306651_6_OR","17306651","irritable bowel syndrome",,"NULL","NULL",,,"chronic vulvar pain",1.86,1.07,3.23,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"17306651_4_OR","17306651","fibromyalgia",,"NULL","NULL",,,"chronic fatigue syndrome",2.15,1.06,4.36,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"17306651_3_OR","17306651","chronic fatigue syndrome",,"NULL","NULL",,,"current vulvar pain",2.78,1.33,6.19,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"17306651_5_OR","17306651","depression",,"NULL","NULL",,,"pain",2.99,1.87,4.8,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"17306651_2_OR","17306651","yeast infections",,"NULL","NULL",,,"repeated urinary tract infections",4.24,2.47,7.28,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"17306651_1_OR","17306651","repeated urinary tract infections",,"NULL","NULL",,,"current vulvar pain",6.15,3.51,10.77,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"17459162_2_OR","17459162","chronic fatigue, and 49 with cfs-like illness. mind",,"NULL","NULL",,,"prolonged fatigue",1.52,1.07,2.16,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"17459162_3_OR","17459162","chronic fatigue, and 49 with cfs-like illness. mind",,"NULL","NULL",,,"prolonged fatigue",1.73,1.2,2.48,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"17459162_1_OR","17459162","non",,"NULL","NULL",,,"chronic fatiguing illnesses",2.52,1.32,4.82,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"17578536_2_OR","17578536","sexual abuse",,"NULL","NULL",,,"headache",2.5,1.2,5.1,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"17578536_1_OR","17578536","sexual abuse",,"NULL","NULL",,,"headache",2.7,1.1,6.5,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"17578536_3_OR","17578536","emotional abuse",,"NULL","NULL",,,"sexual abuse",4.3,1.9,8.9,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"17635599_2_OR","17635599","endometriosis",,"NULL","NULL",,,"headache",10.6,1.9,56.5,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"17635599_1_OR","17635599","endometriosis",,"NULL","NULL",,,"headache",2.2,1,4.7,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"17635599_3_OR","17635599","endometriosis",,"NULL","NULL",,,"headache",3.6,1.1,11.5,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"17897337_3_OR","17897337","chronic widespread pain",,"NULL","NULL",,,"mdd",2.2,1.5,3.3,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"17897337_1_OR","17897337","chronic widespread pain",,"NULL","NULL",,,"mdd",2.7,2.3,3.2,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"17897337_4_OR","17897337","chronic widespread pain",,"NULL","NULL",,,"mdd",3.2,1.7,6.1,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"17976252_1_oddsratio","17976252","psychiatric illness",,"NULL","NULL",,,"chronic fatigue",2.65,1.26,5.57,"relative risk (RR)",,,1,"allChronicFatigue","2023-12-08"
,"17997822_3_OR","17997822","self",,"NULL","NULL",,,"chronic fatigue",1.2,0.83,1.74,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"17997822_2_OR","17997822","smoking habits",,"NULL","NULL",,,"chronic fatigue",1.5,1.04,2.17,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"18236904_1_OR","18236904","female sex",,"NULL","NULL",,,"functional fatigue or weakness",2.19,1.41,3.4,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"18374734_1_oddsratio","18374734","chronic fatigue",,"NULL","NULL",,,"physical illness",1.79,1.68,1.9,"relative risk (RR)",,,1,"allChronicFatigue","2023-12-08"
,"18984023_2_oddsratio","18984023","vaccination",,"NULL","NULL",,,"chronic fatigue syndrome",1.06,0.67,1.66,"relative risk (RR)",,,1,"allChronicFatigue","2023-12-08"
,"19001477_1_oddsratio","19001477","reduced school attendance",,"NULL","NULL",,,"physical function",1.7,1.36,2.13,"relative risk (RR)",,,1,"allChronicFatigue","2023-12-08"
,"19001477_3_OR","19001477","reduced school attendance",,"NULL","NULL",,,"physical function",2.05,1.4,3.01,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"19018338_2_OR","19018338","elevated serum ferritin levels",,"NULL","NULL",,,"chronic fatigue",2,1.07,3.75,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"19018338_7_OR","19018338","hyperpigmentation",,"NULL","NULL",,,"chronic fatigue",2.7,1.38,5.3,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"19018338_1_OR","19018338","chronic fatigue",,"NULL","NULL",,,"elevated serum ferritin levels",2.8,1.34,5.95,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"19018338_6_OR","19018338","elevated serum ferritin levels",,"NULL","NULL",,,"chronic fatigue",3.3,1.17,9.49,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"19018338_4_OR","19018338","hyperpigmentation",,"NULL","NULL",,,"fatigue",3.7,1.1,12.16,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"19018338_5_OR","19018338","elevated serum ferritin levels",,"NULL","NULL",,,"chronic fatigue",4.2,1.37,13.03,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"19018338_3_OR","19018338","hyperpigmentation",,"NULL","NULL",,,"fatigue",4.7,1.5,15.06,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"19033353_1_OR","19033353","hypertension",,"NULL","NULL",,,"fatigue",3.1,1.1,8.3,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"19033353_2_OR","19033353","hypertension",,"NULL","NULL",,,"fatigue",4.2,1.5,11.1,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"19349479_3_OR","19349479","minority ethnic",,"NULL","NULL",,,"cf",1.56,1.03,2.24,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"19349479_2_OR","19349479","african americans",,"NULL","NULL",,,"cfs",11.5,1.1,56.4,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"19349479_1_OR","19349479","african americans",,"NULL","NULL",,,"cfs",2.95,0.69,10.4,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"19349479_4_OR","19349479","minority ethnic",,"NULL","NULL",,,"cf",3.28,1.63,5.88,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"19379961_2_OR","19379961","overweight",,"NULL","NULL",,,"fatigue",1.62,1.05,2.49,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"19379961_1_OR","19379961","excessive childhood energy",,"NULL","NULL",,,"fatigue",2.63,1.55,4.48,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"19414615_5_OR","19414615","fatigue",,"NULL","NULL",,,"cfs",1.1,0.93,1.31,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"19414615_2_OR","19414615","allostatic load index",,"NULL","NULL",,,"cfs",1.26,1,1.59,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"19414615_3_OR","19414615","allostatic load index",,"NULL","NULL",,,"chronic fatigue syndrome",1.35,1.07,1.72,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"19414615_4_OR","19414615","allostatic load index",,"NULL","NULL",,,"chronic fatigue syndrome",1.35,1.1,1.65,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"19514824_3_OR","19514824","post",,"NULL","NULL",,,"female",2.32,1.62,3.34,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"19514824_1_oddsratio","19514824","chronic lyme disease",,"NULL","NULL",,,"female",2.42,1.98,2.94,"relative risk (RR)",,,1,"allChronicFatigue","2023-12-08"
,"19762370_1_oddsratio","19762370","physical",,"NULL","NULL",,,"multisymptom illness",1.8,1.48,2.19,"relative risk (RR)",,,1,"allChronicFatigue","2023-12-08"
,"19762370_5_OR","19762370","chronic fatigue",,"NULL","NULL",,,"psychiatric disorders",13.32,7.7,23.05,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"19762370_3_OR","19762370","major depression",,"NULL","NULL",,,"psychiatric disorders",6.31,4.19,9.52,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"19762370_4_OR","19762370","posttraumatic stress disorder",,"NULL","NULL",,,"psychiatric disorders",9.77,5.39,18.59,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"19822091_3_OR","19822091","rage",,"NULL","NULL",,,"chronic fatigue syndrome",374,1,1104,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"19845780_1_oddsratios","19845780","childhood maltreatment",,"NULL","NULL",,,"pain",1.69,1.224,2.33,"relative risk (RR)",,,1,"allChronicFatigue","2023-12-08"
,"19845780_3_OR","19845780","childhood maltreatment",,"NULL","NULL",,,"pain conditions",1.73,1.22,2.46,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"19845780_5_OR","19845780","childhood maltreatment",,"NULL","NULL",,,"pain",1.9,1.34,2.68,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"19845780_4_OR","19845780","childhood maltreatment",,"NULL","NULL",,,"pain",1.94,1.4,2.72,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"19954535_2_OR","19954535","smaller conference size",,"NULL","NULL",,,"cfs illness",36,2.94,436.34,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"19954535_3_OR","19954535","chronic fatigue syndrome",,"NULL","NULL",,,"morbidity",4.15,1.16,14.83,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"19954535_1_OR","19954535","smaller conference size",,"NULL","NULL",,,"chronic fatigue syndrome",80.17,8.8,730.25,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"20008700_6_OR","20008700","chronic fatigue problems",,"NULL","NULL",,,"psychiatric morbidities",2.64,1.07,6.51,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"20008700_5_OR","20008700","having applied to the sars survivors' fund",,"NULL","NULL",,,"chronic fatigue",2.92,1.18,7.22,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"20008700_4_OR","20008700","social stigmatization",,"NULL","NULL",,,"psychiatric morbidities",3.03,1.2,7.6,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"20008700_1_oddsratio","20008700","being a health care worker",,"NULL","NULL",,,"psychiatric morbidities",3.24,1.12,9.39,"relative risk (RR)",,,1,"allChronicFatigue","2023-12-08"
,"20008700_3_OR","20008700","unemployed",,"NULL","NULL",,,"psychiatric morbidities",4.71,1.5,14.78,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"20209981_3_OR","20209981","acupuncture",,"NULL","NULL",,,"chronic fatigue syndrome",2.07,1.49,2.88,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"20209981_4_OR","20209981","acupuncture",,"NULL","NULL",,,"chronic fatigue syndrome",2.51,1.64,3.85,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"20209981_1_oddsratio","20209981","odds ratio",,"NULL","NULL",,,"chronic fatigue syndrome",4.56,2.84,7.33,"relative risk (RR)",,,1,"allChronicFatigue","2023-12-08"
,"20219350_3_HR","20219350","cf",,"NULL","NULL",,,"mortality",4.35,3.16,6,"hazard ratio (HR)",,,1,"allChronicFatigue","2023-12-08"
,"20219350_2_HR","20219350","chronic fatigue",,"NULL","NULL",,,"mortality",4.85,3.02,7.77,"hazard ratio (HR)",,,1,"allChronicFatigue","2023-12-08"
,"20219350_1_HR","20219350","cf",,"NULL","NULL",,,"mortality",4.93,3.91,6.21,"hazard ratio (HR)",,,1,"allChronicFatigue","2023-12-08"
,"20219350_6_HR","20219350","cf",,"NULL","NULL",,,"mortality",4.9,3.1,7.9,"hazard ratio (HR)",,,1,"allChronicFatigue","2023-12-08"
,"20219350_5_HR","20219350","cf",,"NULL","NULL",,,"mortality",6.6,4.7,9.2,"hazard ratio (HR)",,,1,"allChronicFatigue","2023-12-08"
,"20219350_4_HR","20219350","cf",,"NULL","NULL",,,"mortality",9.45,5.44,16.41,"hazard ratio (HR)",,,1,"allChronicFatigue","2023-12-08"
,"20304556_3_RR","20304556","age",,"NULL","NULL",,,"chronic oro-facial pain",0.2,0.1,0.7,"relative risk (RR)",,,1,"allChronicFatigue","2023-12-08"
,"20304556_1_RR","20304556","health anxiety",,"NULL","NULL",,,"chronic oro-facial pain",2.8,1.3,6.2,"relative risk (RR)",,,1,"allChronicFatigue","2023-12-08"
,"20458514_6_OR","20458514","postural tachycardia syndrome",,"NULL","NULL",,,"migraine",1.1,1.001,1.23,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
,"20458514_1_oddsratio","20458514","migraine",,"NULL","NULL",,,"females",1.29,1.21,1.36,"relative risk (RR)",,,1,"allChronicFatigue","2023-12-08"
,"20458514_3_OR","20458514","chronic fatigue syndrome",,"NULL","NULL",,,"migraine",1.32,1.25,1.4,"odd ratio (OR)",,,1,"allChronicFatigue","2023-12-08"
