"idFreq0","PMID","subpopSize","subset1","subset2","subset3","expFrequencyName","freqType","freqMeasure","freqUnit"
NA,"16686906",NA,NA,NA,NA,"severe headaches",NA,"50 %","%"
NA,"16686906",NA,NA,NA,NA,"migraine without aura",NA,"35.7 %","%"
NA,"16688620",NA,NA,NA,NA,"men",NA,"2 %","%"
NA,"16688620",NA,NA,NA,NA,"men",NA,"4 %","%"
NA,"16707727",NA,NA,NA,NA,"patients improved",NA,"45 %","%"
NA,"16707727",NA,NA,NA,NA,"change",NA,"48 %","%"
NA,"16707727",NA,NA,NA,NA,"headaches",NA,"7 %","%"
NA,"16707727",NA,NA,NA,NA,"migraine",NA,"67 %","%"
NA,"16707727",NA,NA,NA,NA,"tension type headache",NA,"0 %","%"
NA,"16707727",NA,NA,NA,NA,"migraine tth",NA,"37 %","%"
NA,"16735806",NA,NA,NA,NA,"accidental dural puncture",NA,"50 %","%"
NA,"16738291",NA,NA,NA,NA,"tuohy",NA,"1.8 %","%"
NA,"16738291",NA,NA,NA,NA,"sprotte",NA,"3.4 %","%"
NA,"16738291",NA,NA,NA,NA,"tuohy",NA,"20 %","%"
NA,"16738291",NA,NA,NA,NA,"sprotte",NA,"55 %","%"
NA,"16738291",NA,NA,NA,NA,"+ tuohy",NA,"17.3 %","%"
NA,"16738291",NA,NA,NA,NA,"+ sprotte",NA,"25.3 %","%"
NA,"16788299",NA,NA,NA,NA,"regular dose",NA,"38.8 %","%"
NA,"16788299",NA,NA,NA,NA,"patients dropped",NA,"55.6 %","%"
NA,"16788299",NA,NA,NA,NA,"regular dose",NA,"53.3 %","%"
NA,"16817505",NA,NA,NA,NA,"therapeutic success",NA,"50 %","%"
NA,"16832241",NA,NA,NA,NA,"pdph",NA,"25.8 %","%"
NA,"16850682",NA,NA,NA,NA,"ambulation",NA,"49.2 %","%"
NA,"16850682",NA,NA,NA,NA,"hours",NA,"18.2 %","%"
NA,"16850682",NA,NA,NA,NA,"ambulation",NA,"15.6 %","%"
NA,"16870078",NA,NA,NA,NA,"migraine without aura migraine aura",NA,"84 %","%"
NA,"16870078",NA,NA,NA,NA,"migraine",NA,"65 %","%"
NA,"16870083",NA,NA,NA,NA,"subjects",NA,"50 %","%"
NA,"16886935",NA,NA,NA,NA,"loss follow",NA,"3.7 %","%"
NA,"16961787",NA,NA,NA,NA,"headache frequency",NA,"73 %","%"
NA,"17057418",NA,NA,NA,NA,"responders",NA,"44 %","%"
NA,"17057418",NA,NA,NA,NA,"responders",NA,"68 %","%"
NA,"17066105",NA,NA,NA,NA,"group",NA,"6.0 %","%"
NA,"17069972",NA,NA,NA,NA,"headache",NA,"92 %","%"
NA,"17069972",NA,NA,NA,NA,"headache",NA,"74 %","%"
NA,"17069972",NA,NA,NA,NA,"ocular headache",NA,"13 %","%"
NA,"17073214",NA,NA,NA,NA,"tth",NA,"38.3 %","%"
NA,"17073214",NA,NA,NA,NA,"women",NA,"46,9 %","%"
NA,"17073214",NA,NA,NA,NA,"women",NA,"42.3 %","%"
NA,"17073214",NA,NA,NA,NA,"depression",NA,"32 %","%"
NA,"17073214",NA,NA,NA,NA,"depression",NA,"40 %","%"
NA,"17073214",NA,NA,NA,NA,"area under headache curve calculated product period intensity",NA,"34 %","%"
NA,"17099089",NA,NA,NA,NA,"headache",NA,"32 %","%"
NA,"17115988",NA,NA,NA,NA,"general population",NA,"5 %","%"
NA,"17131796",NA,NA,NA,NA,"headache",NA,"70 %","%"
NA,"17209488",NA,NA,NA,NA,"dexamethasone headache recurrence",NA,"9.7 %","%"
NA,"17209488",NA,NA,NA,NA,"placebo",NA,"58.3 %","%"
NA,"17209488",NA,NA,NA,NA,"four dexamethasone",NA,"12.9 %","%"
NA,"17209488",NA,NA,NA,NA,"placebo",NA,"33.3 %","%"
NA,"17277688",NA,NA,NA,NA,"brainstem",NA,"50 %","%"
NA,"17277688",NA,NA,NA,NA,"fair",NA,"25 %","%"
NA,"17309715",NA,NA,NA,NA,"vas tpi approximately baseline",NA,"50 %","%"
NA,"17319401",NA,NA,NA,NA,"headache",NA,"90 %","%"
NA,"17362835",NA,NA,NA,NA,"attack frequency",NA,"90 %","%"
NA,"17362835",NA,NA,NA,NA,"attack frequency",NA,"40 %","%"
NA,"17362835",NA,NA,NA,NA,"attacks",NA,"50 %","%"
NA,"17372580",NA,NA,NA,NA,"eradication",NA,"28 %","%"
NA,"17381554",NA,NA,NA,NA,"headache general",NA,"46 %","%"
NA,"17381554",NA,NA,NA,NA,"migraine",NA,"11 %","%"
NA,"17381554",NA,NA,NA,NA,"tension type headache",NA,"42 %","%"
NA,"17381554",NA,NA,NA,NA,"chronic daily headache",NA,"3 %","%"
NA,"17449944",NA,NA,NA,NA,"diagnosticprognostic blocks",NA,"50 %","%"
NA,"17497260",NA,NA,NA,NA,"female preponderance",NA,"93 %","%"
NA,"17631795",NA,NA,NA,NA,"manipulation treatment",NA,"94.5 %","%"
NA,"17631795",NA,NA,NA,NA,"tens treatment",NA,"64.5 %","%"
NA,"17690017",NA,NA,NA,NA,"treated participants",NA,"50 %","%"
NA,"17768454",NA,NA,NA,NA,"school age children",NA,"90 %","%"
NA,"17868013",NA,NA,NA,NA,"medication overuse headache",NA,"1 %","%"
NA,"17868356",NA,NA,NA,NA,"cm",NA,"50 %","%"
NA,"17868356",NA,NA,NA,NA,"responders",NA,"76.1 %","%"
NA,"17868356",NA,NA,NA,NA,"unilateral",NA,"68.5 %","%"
NA,"17868356",NA,NA,NA,NA,"bilateral",NA,"31.5 %","%"
NA,"17868356",NA,NA,NA,NA,"cm nonresponders",NA,"23.9 %","%"
NA,"17868356",NA,NA,NA,NA,"bilateral headache",NA,"76.5 %","%"
NA,"17868356",NA,NA,NA,NA,"cm nonresponders",NA,"23.5 %","%"
NA,"17868356",NA,NA,NA,NA,"cm responders",NA,"81.5 %","%"
NA,"17868356",NA,NA,NA,NA,"pericranial muscle tenderness",NA,"61.1 %","%"
NA,"17868356",NA,NA,NA,NA,"scalp allodynia",NA,"11.8 %","%"
NA,"17868356",NA,NA,NA,NA,"cm nonresponders",NA,"17.6 %","%"
NA,"17868356",NA,NA,NA,NA,"cm",NA,"36.4 %","%"
NA,"17888081",NA,NA,NA,NA,"medication overuse headache",NA,"57.1 %","%"
NA,"17888081",NA,NA,NA,NA,"eight",NA,"3.3 %","%"
NA,"17888081",NA,NA,NA,NA,"relapsed",NA,"39.6 %","%"
NA,"17916877",NA,NA,NA,NA,"sig",NA,"51.7 %","%"
NA,"17916877",NA,NA,NA,NA,"big",NA,"48.3 %","%"
NA,"17916877",NA,NA,NA,NA,"big group",NA,"29.3 %","%"
NA,"17916877",NA,NA,NA,NA,"sig group",NA,"6.5 %","%"
NA,"17918102",NA,NA,NA,NA,"mean frequency headache crises",NA,"50 %","%"
NA,"17918102",NA,NA,NA,NA,"number days headache per month least",NA,"92.8 %","%"
NA,"17948210",NA,NA,NA,NA,"females",NA,"88 %","%"
NA,"17948210",NA,NA,NA,NA,"respondents",NA,"72 %","%"
NA,"17948210",NA,NA,NA,NA,"medication abuse",NA,"14 %","%"
NA,"17948210",NA,NA,NA,NA,"side effects",NA,"58 %","%"
NA,"17948210",NA,NA,NA,NA,"dropout rate",NA,"24 %","%"
NA,"17953286",NA,NA,NA,NA,"europe",NA,"51 %","%"
NA,"17953286",NA,NA,NA,NA,"migraine",NA,"14 %","%"
NA,"17953286",NA,NA,NA,NA,"adult population affected chronic forms",NA,"4 %","%"
NA,"17955170",NA,NA,NA,NA,"ctth persisted",NA,"7 %","%"
NA,"17965148",NA,NA,NA,NA,"gabapentin",NA,"43.1 %","%"
NA,"17965148",NA,NA,NA,NA,"placebo",NA,"54.9 %","%"
NA,"17965148",NA,NA,NA,NA,"gabapentin group",NA,"26.5 %","%"
NA,"17965148",NA,NA,NA,NA,"placebo",NA,"41.2 %","%"
NA,"18184281",NA,NA,NA,NA,"adult population",NA,"4 %","%"
NA,"18184281",NA,NA,NA,NA,"children",NA,"1 %","%"
NA,"18184281",NA,NA,NA,NA,"children",NA,"2 %","%"
NA,"18228047",NA,NA,NA,NA,"women",NA,"10 %","%"
NA,"18228047",NA,NA,NA,NA,"men",NA,"5 %","%"
NA,"18316488",NA,NA,NA,NA,"migraine aura",NA,"80 %","%"
NA,"18316488",NA,NA,NA,NA,"right left shunts",NA,"38 %","%"
NA,"18318746",NA,NA,NA,NA,"responder rate",NA,"50 %","%"
NA,"1837469",NA,NA,NA,NA,"postdural puncture headache",NA,"4 %","%"
NA,"1837469",NA,NA,NA,NA,"postdural puncture headache",NA,"2 %","%"
NA,"1837469",NA,NA,NA,NA,"patient acceptance",NA,"98 %","%"
NA,"18379485",NA,NA,NA,NA,"headache",NA,"89 %","%"
NA,"18387702",NA,NA,NA,NA,"migraine patients",NA,"31 %","%"
NA,"18387702",NA,NA,NA,NA,"tension type headache",NA,"19 %","%"
NA,"18387702",NA,NA,NA,NA,"unclassifiable headache",NA,"27 %","%"
NA,"18387702",NA,NA,NA,NA,"migraine",NA,"37 %","%"
NA,"18387702",NA,NA,NA,NA,"unclassifiable headache",NA,"26 %","%"
NA,"18547293",NA,NA,NA,NA,"saline",NA,"48 %","%"
NA,"18646121",NA,NA,NA,NA,"population",NA,"0.2 %","%"
NA,"18651939",NA,NA,NA,NA,"the disease familial",NA,"10 %","%"
NA,"18710078",NA,NA,NA,NA,"tension type headache",NA,"38 %","%"
NA,"18727648",NA,NA,NA,NA,"relapse",NA,"20.5 %","%"
NA,"18789357",NA,NA,NA,NA,"migraine",NA,"10 %","%"
NA,"18976336",NA,NA,NA,NA,"absolute",NA,"9.7 %","%"
NA,"19001531",NA,NA,NA,NA,"pharmacies",NA,"26 %","%"
NA,"19001531",NA,NA,NA,NA,"recommend pharmaceutical care patients headache",NA,"90 %","%"
NA,"19012490",NA,NA,NA,NA,"pituitary microadenomas",NA,"56 %","%"
NA,"19109043",NA,NA,NA,NA,"adults",NA,"0.1 %","%"
NA,"19160338",NA,NA,NA,NA,"headache frequency",NA,"50 %","%"
NA,"19178577",NA,NA,NA,NA,"bt a",NA,"62.5 %","%"
NA,"19178577",NA,NA,NA,NA,"placebo",NA,"30 %","%"
NA,"19220310",NA,NA,NA,NA,"relapse rate much group b patients",NA,"15.3 %","%"
NA,"19220310",NA,NA,NA,NA,"relapse",NA,"23 %","%"
NA,"19244630",NA,NA,NA,NA,"moderate severe pain",NA,"87.5 %","%"
NA,"19244630",NA,NA,NA,NA,"olanzapine",NA,"86.4 %","%"
NA,"19339283",NA,NA,NA,NA,"headache frequency",NA,"67.7 %","%"
NA,"19339283",NA,NA,NA,NA,"intensity",NA,"74.3 %","%"
NA,"19339283",NA,NA,NA,NA,"duration",NA,"77.3 %","%"
NA,"19344670",NA,NA,NA,NA,"responders",NA,"67 %","%"
NA,"19344670",NA,NA,NA,NA,"non responders",NA,"33 %","%"
NA,"19344670",NA,NA,NA,NA,"non responders",NA,"34 %","%"
NA,"19344670",NA,NA,NA,NA,"questionable responders",NA,"66 %","%"
NA,"19344670",NA,NA,NA,NA,"pressure inside head",NA,"83 %","%"
NA,"19344670",NA,NA,NA,NA,"questionable responders",NA,"64 %","%"
NA,"19398381",NA,NA,NA,NA,"responder rate",NA,"50 %","%"
NA,"19398381",NA,NA,NA,NA,"drug consumption",NA,"68.2 %","%"
NA,"19472440",NA,NA,NA,NA,"pain relief",NA,"50 %","%"
NA,"19472440",NA,NA,NA,NA,"good good pain",NA,"86 %","%"
NA,"19472450",NA,NA,NA,NA,"disorder homeostasis",NA,"22 %","%"
NA,"19473281",NA,NA,NA,NA,"responder",NA,"50 %","%"
NA,"19521087",NA,NA,NA,NA,"men",NA,"63 %","%"
NA,"19521087",NA,NA,NA,NA,"headache",NA,"40.2 %","%"
NA,"19521087",NA,NA,NA,NA,"headache",NA,"21.3 %","%"
NA,"19543115",NA,NA,NA,NA,"headache",NA,"5 %","%"
NA,"19543115",NA,NA,NA,NA,"general population",NA,"0.6 %","%"
NA,"19549156",NA,NA,NA,NA,"females",NA,"78.5 %","%"
NA,"19549156",NA,NA,NA,NA,"white",NA,"95.4 %","%"
NA,"19549156",NA,NA,NA,NA,"chronic migraine cm",NA,"66 %","%"
NA,"19549156",NA,NA,NA,NA,"severe disability",NA,"75 %","%"
NA,"19549156",NA,NA,NA,NA,"prophylactic ha treatment failure",NA,"90 %","%"
NA,"19549156",NA,NA,NA,NA,"severe grade iv disability",NA,"80 %","%"
NA,"19610505",NA,NA,NA,NA,"hyperbaric bupivacaine",NA,"0.75 %","%"
NA,"19610505",NA,NA,NA,NA,"pdph",NA,"8.3 %","%"
NA,"19782343",NA,NA,NA,NA,"headache frequency",NA,"50 %","%"
NA,"19782343",NA,NA,NA,NA,"cbt",NA,"63 %","%"
NA,"19782343",NA,NA,NA,NA,"cbt",NA,"32 %","%"
NA,"19782343",NA,NA,NA,NA,"edu",NA,"19 %","%"
NA,"19782343",NA,NA,NA,NA,"nnts",NA,"56 %","%"
NA,"19782343",NA,NA,NA,NA,"nnts",NA,"55 %","%"
NA,"19888502",NA,NA,NA,NA,"bd patients",NA,"92,8 %","%"
NA,"19936616",NA,NA,NA,NA,"refractory",NA,"50 %","%"
NA,"19949829",NA,NA,NA,NA,"saudi arabia",NA,"12 %","%"
NA,"19949829",NA,NA,NA,NA,"qatar",NA,"72.5 %","%"
NA,"19949829",NA,NA,NA,NA,"oman",NA,"83.6 %","%"
NA,"19949829",NA,NA,NA,NA,"tension headache",NA,"11.2 %","%"
NA,"19949829",NA,NA,NA,NA,"migraine",NA,"7.9 %","%"
NA,"19949829",NA,NA,NA,NA,"migraine",NA,"10.1 %","%"
NA,"20028727",NA,NA,NA,NA,"low bias",NA,"34.1 %","%"
NA,"20039959",NA,NA,NA,NA,"post fast questionnaire",NA,"92 %","%"
NA,"20039959",NA,NA,NA,NA,"placebo",NA,"67.7 %","%"
NA,"20055254",NA,NA,NA,NA,"headache frequency",NA,"44.94 %","%"
NA,"20055254",NA,NA,NA,NA,"headache frequency",NA,"25 %","%"
NA,"20055254",NA,NA,NA,NA,"non responders",NA,"14.28 %","%"
NA,"20148254",NA,NA,NA,NA,"post dural puncture headache",NA,"1 %","%"
NA,"20237130",NA,NA,NA,NA,"responders",NA,"50 %","%"
NA,"20298963",NA,NA,NA,NA,"moh",NA,"0.7 %to 1.7 %","%"
NA,"20346716",NA,NA,NA,NA,"disability",NA,"25 %","%"
NA,"20346716",NA,NA,NA,NA,"disability",NA,"81.2 %","%"
NA,"20346716",NA,NA,NA,NA,"severely disabled",NA,"1.4 %","%"
NA,"20370785",NA,NA,NA,NA,"sah",NA,"15 %","%"
NA,"20370785",NA,NA,NA,NA,"ct sensitivity sah",NA,"91 %","%"
NA,"20370785",NA,NA,NA,NA,"aneurysmal sah",NA,"99.43 %","%"
NA,"20370785",NA,NA,NA,NA,"missed aneurysmal sah",NA,"1 %","%"
NA,"20425206",NA,NA,NA,NA,"chronic cluster headache",NA,"10 %to 15 %","%"
NA,"20473701",NA,NA,NA,NA,"men",NA,"22 %","%"
NA,"20473701",NA,NA,NA,NA,"relapse rate",NA,"26 %","%"
NA,"20473701",NA,NA,NA,NA,"responder rate",NA,"28 %","%"
NA,"20473702",NA,NA,NA,NA,"adults",NA,"50 %","%"
NA,"20473702",NA,NA,NA,NA,"tension type headache",NA,"60 %","%"
NA,"20473702",NA,NA,NA,NA,"migraine",NA,"15 %","%"
NA,"20473702",NA,NA,NA,NA,"chronic headache",NA,"4 %","%"
NA,"20490742",NA,NA,NA,NA,"headache",NA,"4.1 %","%"
NA,"20514531",NA,NA,NA,NA,"headache",NA,"50 %","%"
NA,"20569084",NA,NA,NA,NA,"cluster headache",NA,"0.1 %","%"
NA,"20572880",NA,NA,NA,NA,"psychiatric comorbidity",NA,"42.9 %","%"
NA,"20572880",NA,NA,NA,NA,"episodic headache",NA,"26.5 %","%"
NA,"20613476",NA,NA,NA,NA,"pdph",NA,"33 %","%"
NA,"20647241",NA,NA,NA,NA,"mt",NA,"95 %","%"
NA,"20652572",NA,NA,NA,NA,"pdph",NA,"4.1 %","%"
NA,"20652572",NA,NA,NA,NA,"q",NA,"6.6 %","%"
NA,"20652572",NA,NA,NA,NA,"q",NA,"1.7 %","%"
NA,"20832701",NA,NA,NA,NA,"ibuprofen",NA,"27.5 %","%"
NA,"20832701",NA,NA,NA,NA,"placebo",NA,"45.3 %","%"
NA,"20832701",NA,NA,NA,NA,"ams",NA,"18.8 %","%"
NA,"20832701",NA,NA,NA,NA,"ibuprofen",NA,"13.7 %","%"
NA,"20832701",NA,NA,NA,NA,"placebo",NA,"28.6 %","%"
NA,"20832701",NA,NA,NA,NA,"acetazolamide",NA,"3.8 %","%"
NA,"20832701",NA,NA,NA,NA,"ibuprofen",NA,"4.7 %","%"
NA,"20832701",NA,NA,NA,NA,"placebo",NA,"13.5 %","%"
NA,"20974593",NA,NA,NA,NA,"vmca",NA,"28.3 %","%"
NA,"20974593",NA,NA,NA,NA,"sta",NA,"55.7 %","%"
NA,"21070231",NA,NA,NA,NA,"completed week",NA,"65 %","%"
NA,"21070231",NA,NA,NA,NA,"week",NA,"54 %","%"
NA,"21070231",NA,NA,NA,NA,"week",NA,"48 %","%"
NA,"21070231",NA,NA,NA,NA,"frequency",NA,"50 %","%"
NA,"21142584",NA,NA,NA,NA,"headache",NA,"94 %","%"
NA,"21142584",NA,NA,NA,NA,"intensity headache",NA,"56 %","%"
NA,"21142584",NA,NA,NA,NA,"headache",NA,"30 %","%"
NA,"21142584",NA,NA,NA,NA,"intensity headache",NA,"50 %","%"
NA,"21142584",NA,NA,NA,NA,"intensity headache",NA,"39 %","%"
NA,"21142584",NA,NA,NA,NA,"s",NA,"36 %","%"
NA,"21395575",NA,NA,NA,NA,"remission",NA,"50 %","%"
NA,"21395575",NA,NA,NA,NA,"remission",NA,"11.8 %","%"
NA,"21398420",NA,NA,NA,NA,"headache frequency",NA,"68 %","%"
NA,"21398420",NA,NA,NA,NA,"new worsened headaches",NA,"9 %","%"
NA,"2143882",NA,NA,NA,NA,"mm needle group incidence",NA,"25 %","%"
NA,"21461591",NA,NA,NA,NA,"auc",NA,"25 %","%"
NA,"21461896",NA,NA,NA,NA,"local anesthetic test",NA,"28.5 %","%"
NA,"21461896",NA,NA,NA,NA,"eight patients became completely free headache medications",NA,"19 %","%"
NA,"21461896",NA,NA,NA,NA,"local anesthetic test",NA,"75 %","%"
NA,"21461896",NA,NA,NA,NA,"headache severity frequency tolerated without medications",NA,"62 %","%"
NA,"21461896",NA,NA,NA,NA,"seven",NA,"16.6 %","%"
NA,"21461896",NA,NA,NA,NA,"one",NA,"2 %","%"
NA,"21461896",NA,NA,NA,NA,"negative anesthetic tests",NA,"81 %","%"
NA,"21533738",NA,NA,NA,NA,"bilateral central venous stenosis",NA,"23 %","%"
NA,"21533738",NA,NA,NA,NA,"bilateral central venous stenosis",NA,"48 %","%"
NA,"21533738",NA,NA,NA,NA,"bilateral central venous stenosis",NA,"11 %","%"
NA,"21544647",NA,NA,NA,NA,"headache frequency",NA,"50 %","%"
NA,"21544647",NA,NA,NA,NA,"relaxation therapy",NA,"61 %","%"
NA,"21544647",NA,NA,NA,NA,"aerobic endurance sports",NA,"72 %","%"
NA,"21613599",NA,NA,NA,NA,"chronic form",NA,"10 %","%"
NA,"21613599",NA,NA,NA,NA,"nocturnal pain attacks",NA,"90 %","%"
NA,"21613599",NA,NA,NA,NA,"nocturnal pain attacks",NA,"50 %","%"
NA,"21617837",NA,NA,NA,NA,"headache frequency",NA,"43 %","%"
NA,"21711255",NA,NA,NA,NA,"responders",NA,"32 %","%"
NA,"21711255",NA,NA,NA,NA,"headache frequency",NA,"50 %","%"
NA,"21711255",NA,NA,NA,NA,"persons met criteria moh",NA,"34 %","%"
NA,"21727143",NA,NA,NA,NA,"attack frequency",NA,"68 %","%"
NA,"21727143",NA,NA,NA,NA,"improvement",NA,"50 %","%"
NA,"21848948",NA,NA,NA,NA,"fast questionnaire",NA,"87 %","%"
NA,"21848948",NA,NA,NA,NA,"first ramadan headache",NA,"54 %","%"
NA,"21848948",NA,NA,NA,NA,"placebo",NA,"46 %","%"
NA,"21848948",NA,NA,NA,NA,"first ramadan headache",NA,"21 %","%"
NA,"21881477",NA,NA,NA,NA,"moh",NA,"2.5 %","%"
NA,"21908446",NA,NA,NA,NA,"time pain relief",NA,"50 %","%"
NA,"21943616",NA,NA,NA,NA,"headache frequency",NA,"59.2 %","%"
NA,"21943616",NA,NA,NA,NA,"headache frequency",NA,"54 %","%"
NA,"21943616",NA,NA,NA,NA,"headache frequency",NA,"13.3 %","%"
NA,"21945891",NA,NA,NA,NA,"phantosmias",NA,"0.66 %","%"
NA,"22068432",NA,NA,NA,NA,"medication overuse headache moh",NA,"2 %","%"
NA,"22102156",NA,NA,NA,NA,"chronic pain syndrome",NA,"1 %","%"
NA,"22116943",NA,NA,NA,NA,"attack frequency",NA,"90 %","%"
NA,"2221511",NA,NA,NA,NA,"chloropromazine",NA,"88.9 %","%"
NA,"2221511",NA,NA,NA,NA,"dihydroergotamine",NA,"52.6 %","%"
NA,"2221511",NA,NA,NA,NA,"lidocaine",NA,"29.4 %","%"
NA,"22253751",NA,NA,NA,NA,"frequency",NA,"50 %","%"
NA,"2227537",NA,NA,NA,NA,"ch",NA,"13.8 %","%"
NA,"22332207",NA,NA,NA,NA,"approximately patients",NA,"75 %","%"
NA,"22332207",NA,NA,NA,NA,"german",NA,"12.6 %","%"
NA,"22341998",NA,NA,NA,NA,"headache days",NA,"50 %","%"
NA,"22341998",NA,NA,NA,NA,"recovery",NA,"78 %","%"
NA,"22341998",NA,NA,NA,NA,"recovered",NA,"73 %","%"
NA,"22341998",NA,NA,NA,NA,"posterior probability recovery",NA,"92 %","%"
NA,"22341998",NA,NA,NA,NA,"low probability recovery",NA,"61 %","%"
NA,"22527786",NA,NA,NA,NA,"pdph",NA,"10.8 %","%"
NA,"22547100",NA,NA,NA,NA,"medication overuse",NA,"76 %","%"
NA,"22547100",NA,NA,NA,NA,"longer chronic headache",NA,"42 %","%"
NA,"2272094",NA,NA,NA,NA,"pain index",NA,"43 %","%"
NA,"22724425",NA,NA,NA,NA,"headache frequency",NA,"39.3 %","%"
NA,"22724425",NA,NA,NA,NA,"headache frequency",NA,"50 %","%"
NA,"22724425",NA,NA,NA,NA,"reverted episodic headache",NA,"60.5 %","%"
NA,"22724425",NA,NA,NA,NA,"medication use",NA,"62.8 %","%"
NA,"22751965",NA,NA,NA,NA,"group b",NA,"85.4 %","%"
NA,"22751965",NA,NA,NA,NA,"headache frequency",NA,"40.2 %","%"
NA,"22751965",NA,NA,NA,NA,"group b",NA,"38.4 %","%"
NA,"22751965",NA,NA,NA,NA,">",NA,"48.9 %","%"
NA,"22751965",NA,NA,NA,NA,"group b",NA,"48.8 %","%"
NA,"22751965",NA,NA,NA,NA,"headache frequency",NA,"50 %","%"
NA,"22751965",NA,NA,NA,NA,"prophylactics",NA,"61.9 %","%"
NA,"22751965",NA,NA,NA,NA,"programme a",NA,"84.8 %","%"
NA,"22790281",NA,NA,NA,NA,"hkeywords",NA,"44.0 %","%"
NA,"22883540",NA,NA,NA,NA,"moh",NA,"50 %","%"
NA,"22964805",NA,NA,NA,NA,"post dural puncture headache",NA,"2.5 %","%"
NA,"22964805",NA,NA,NA,NA,"control group",NA,"12.5 %","%"
NA,"23230238",NA,NA,NA,NA,"cdh",NA,"2.9 %","%"
NA,"23230238",NA,NA,NA,NA,"cdh",NA,"1.0 %","%"
NA,"23230238",NA,NA,NA,NA,"cdh",NA,"1.7 %","%"
NA,"23230238",NA,NA,NA,NA,"malaysian study",NA,"0.6 %","%"
NA,"23230238",NA,NA,NA,NA,"cdh",NA,"52 %","%"
NA,"23312009",NA,NA,NA,NA,"rhinosinusitis",NA,"42 %","%"
NA,"23312009",NA,NA,NA,NA,"nasal contact",NA,"4 %","%"
NA,"23312009",NA,NA,NA,NA,"headache",NA,"29 %","%"
NA,"23312009",NA,NA,NA,NA,"contact point",NA,"55 %","%"
